male,white,bisexual
female,white,something else
female,white,bisexual
male,white,gay
female,white,something else
female,white,gay
female,white,straight
female,white,gay
male,white,gay
female,black,bisexual
female,white,straight
female,white,gay
female,black,gay
female,white,gay
female,white,something else
female,white,bisexual
male,black,bisexual
female,white,something else
female,white,bisexual
female,white,something else
female,white,gay
female,black,something else
female,black,gay
female,white,something else
female,white,something else
female,chinese,something else
female,black,something else
female,white,gay
female,filipino,something else
female,white,gay
female,white,bisexual
male,white,bisexual
female,white,gay
male,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,bisexual
female,white,straight
female,white,straight
male,white,straight
female,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,something else
male,white,bisexual
male,white,something else
female,black,something else
male,white,gay
female,white,something else
female,white,gay
male,white,bisexual
female,white,something else
female,black,something else
male,white,straight
female,white,bisexual
male,black,something else
female,white,gay
male,white,something else
male,white,straight
female,black,straight
female,white,something else
female,white,gay
female,white,gay
female,white,something else
female,white,something else
female,white,bisexual
male,white,something else
female,white,gay
male,white,bisexual
female,white,straight
male,white,something else
male,white,straight
male,white,something else
female,white,something else
female,white,gay
male,white,something else
male,white,bisexual
male,white,gay
female,white,something else
male,white,something else
male,white,bisexual
male,white,something else
female,white,something else
female,black,straight
female,black,something else
female,white,gay
female,white,something else
female,white,gay
male,black,something else
female,white,something else
male,white,gay
male,black,something else
male,black,something else
male,white,something else
female,black,something else
male,white,something else
male,white,something else
female,black,something else
male,white,bisexual
male,white,something else
female,white,straight
female,white,something else
female,white,straight
female,white,something else
female,white,something else
female,black,gay
female,white,something else
female,white,something else
female,white,something else
male,white,bisexual
male,white,bisexual
male,white,gay
female,white,gay
female,white,bisexual
male,chinese,straight
female,white,straight
female,white,something else
female,white,something else
female,black,something else
female,white,something else
male,white,gay
female,white,bisexual
male,white,something else
male,white,gay
female,white,something else
male,white,bisexual
male,white,bisexual
male,white,bisexual
female,white,something else
male,filipino,something else
male,white,straight
female,white,bisexual
male,white,gay
male,white,something else
female,filipino,something else
female,filipino,gay
female,white,bisexual
female,white,straight
male,indian,something else
male,black,something else
female,white,something else
male,white,something else
male,white,something else
male,white,gay
female,black,something else
female,white,something else
female,white,gay
female,white,straight
female,white,bisexual
female,white,bisexual
male,white,something else
female,white,gay
female,white,something else
female,filipino,something else
female,filipino,gay
male,white,something else
female,white,bisexual
male,white,bisexual
male,white,something else
female,white,gay
male,white,gay
male,white,something else
female,white,straight
female,white,bisexual
female,white,bisexual
male,white,bisexual
female,white,straight
female,white,bisexual
female,white,something else
female,white,straight
female,white,something else
male,white,gay
male,filipino,something else
male,white,bisexual
male,black,something else
female,chinese,straight
male,white,bisexual
female,white,straight
male,white,something else
male,filipino,gay
female,white,bisexual
male,white,gay
male,white,gay
female,white,gay
female,white,something else
female,white,gay
female,white,gay
female,black,something else
male,white,something else
male,white,gay
female,white,something else
female,white,straight
male,white,something else
female,white,gay
female,white,something else
female,white,bisexual
male,white,straight
male,white,something else
female,white,something else
male,white,something else
male,white,straight
male,white,gay
female,white,bisexual
male,white,bisexual
male,white,straight
female,white,bisexual
male,white,something else
female,white,something else
female,white,bisexual
female,black,straight
female,white,gay
female,white,bisexual
male,white,straight
female,white,gay
female,white,straight
male,white,straight
female,white,something else
male,white,bisexual
female,white,bisexual
male,white,something else
male,white,gay
female,white,bisexual
female,white,something else
female,white,something else
male,white,gay
female,white,something else
female,white,bisexual
male,black,something else
female,black,something else
female,white,something else
female,white,something else
male,white,something else
male,white,something else
female,white,straight
male,white,something else
female,black,straight
female,white,something else
female,white,gay
male,white,bisexual
male,white,bisexual
male,filipino,bisexual
male,white,something else
female,white,something else
female,white,bisexual
male,white,something else
female,white,gay
female,black,something else
male,white,bisexual
male,white,something else
male,white,something else
male,white,something else
male,white,straight
female,white,straight
female,black,something else
male,white,straight
male,white,straight
male,white,something else
male,white,bisexual
female,white,something else
male,white,straight
female,white,gay
female,white,something else
male,white,something else
female,white,straight
female,white,bisexual
male,black,straight
female,black,something else
female,white,gay
female,white,something else
male,white,bisexual
male,black,something else
male,white,bisexual
male,black,something else
female,white,something else
female,white,straight
male,white,straight
female,black,gay
male,white,straight
male,white,something else
male,black,bisexual
female,black,bisexual
male,white,straight
female,white,bisexual
female,white,bisexual
female,white,something else
female,white,bisexual
female,white,something else
female,white,something else
male,white,gay
female,white,bisexual
male,white,bisexual
male,white,gay
male,black,gay
female,white,bisexual
male,white,gay
female,white,straight
male,white,something else
male,white,gay
female,white,gay
male,white,gay
male,white,straight
